course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
Accountancy and Mathematics BSc (Hons),School of Business,,https://www.dundee.ac.uk/undergraduate/accountancy-mathematics,4 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mathematics can lead to a diverse range of careers. Scientific developments are possible due to mathematical applications while mathematical models inform decisions in industry, government, and in the financial sector. ,You'll learn both pure and application-driven mathematics. By the time you finish your degree, you will be able to use mathematics to solve practical problems and apply this knowledge to accountancy. ,As the accounting and financial reporting world becomes more globalised we concentrate on the developing international standards adopted by the key trading blocks.,You’ll discover the power and limitations of accountancy as a tool in society and the financial techniques you’ll need to help society function.,Dundee has close links with the accountancy profession. You’ll benefit from the experience of practicing accountants and understand their contemporary challenges through their insights and guest lectures.,A number of students opt to undertake an internship with an accountancy firm during their vacation, combining their study with work experience.,You will also be able to join DUMaS (Dundee University Maths Society), an active society open to all students studying mathematics.",,,
Biomedical Sciences BSc (Hons),,,https://www.dundee.ac.uk/undergraduate/biomedical-sciences,4 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In Biomedical Sciences you can combine a range of topics from the field at Levels 1 and 2 before specialising in areas that interest you at Levels 3 and 4. This will include normal and diseased function as well as ways to prevent and treat disease.,With any aspect of life sciences, it’s important to understand key theories of biology, from molecular level right up to full body systems and beyond.,Your first two years will cover core concepts including genetics, cell biology, biological organisation, molecular mechanisms, and processes. You’ll develop practical skills, including laboratory skills, data analysis, and learn how to design and run experiments. This will prepare you for projects later in your course.,You can pick modules that interest you and graduate with a BSc (Hons) Biomedical Sciences, or focus on neuroscience, pharmacology, or physiology. The flexibility of our courses also means you can transfer to a different life sciences degree if you choose the relevant modules.,Our course curriculum is shaped by the work of our world-leading researchers to ensure you are learning the latest advances, as well as gaining an understanding of the fundamentals of the field.,Lab sessions help bring together your knowledge and practical skills, as well as develop strong transferable skills, both in and out of the lab.,Mutual recognition of professional qualifications after Brexit is a priority for UK professional bodies and universities. If you plan on practising outside the UK you should check with the relevant national authority on the recognition of this qualification.",,,
Biomedical Sciences (with a year in industry) BSc (Hons),,,https://www.dundee.ac.uk/undergraduate/biomedical-sciences-industry,5 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In Biomedical Sciences you combine a range of topics from the field at Levels 1 and 2 before specialising in areas that interest you at Levels 3 and 4. This will include normal and diseased function as well as ways to prevent and treat disease. Between Level 3 and 4, you'll spend a year working in a related industry - for example in a commercial lab - before returning to your studies.,You will learn key theories - from molecular level to full body systems - to understand the field as a whole.,Your first two years will cover core concepts including genetics, cell biology, biological organisation, molecular mechanisms and processes. You’ll develop practical skills, including laboratory skills, data analysis, and how to design and run experiments. This will prepare you for carrying out projects later in your course.,You can pick modules that interest you and the flexibility of our courses also means you can transfer to a different life sciences degree if you choose the relevant modules.,Our course curriculum is shaped by the work of our world-leading researchers to make sure you’re learning the latest advances, as well as gaining an understanding of the fundamentals of the field.,Laboratory sessions throughout your degree will help integrate your knowledge and practical skills, as well as develop strong transferable skills, both in and out of the lab.,Mutual recognition of professional qualifications after Brexit is a priority for UK professional bodies and universities. If you plan on practising outside the UK you should check with the relevant national authority on the recognition of this qualification.",,,
Biological Chemistry and Drug Discovery BSc (Hons),,,https://www.dundee.ac.uk/undergraduate/biological-chemistry-drug-discovery,4 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drug discovery and biological chemistry integrate chemistry, pharmacology, and biology and use techniques from molecular and chemical biology to find new treatments for diseases.,At Dundee, our Drug Discovery Unit bridges lab-focused academic research and industry-scale drug development to create new drugs to fight infections and other diseases. Expertise from this fast-moving field has been used to shape this course.,The degree starts with a broad range of life sciences topics at Levels 1 and 2. You’ll then focus on more detailed aspects of biological chemistry and drug discovery at Levels 3 and 4.,Your first two years of study will explore core concepts like genetics, cell biology, biological organisation, molecular mechanisms and processes. You will develop your practical skills, including laboratory skills, data analysis, and experiment design. This will prepare you for designing and carrying out projects later in your course.,Our course curriculum is shaped by the work of our world-leading researchers to make sure you’re learning the latest advances, as well as gaining an understanding of the fundamentals of the field.,Throughout your degree, you can pick modules that interest you and also transfer on to one of our other courses if you choose the relevant modules.,Lab sessions throughout your degree will help you integrate knowledge and practical skills, as well as develop strong transferable skills, both in and out of the lab.",,,
Biological Sciences (with a year in industry) BSc (Hons),,,https://www.dundee.ac.uk/undergraduate/biological-sciences-industry,5 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Biological Sciences studies life in all its forms with a focus on the cellular level. Our broad-based curriculum at Levels 1 and 2 allows you to combine a wide range of topics before specialising in areas that interest you at Levels 3 and 4. You'll spend a year between these levels of study working in a related industry, for example in a commercial laboratory .,With any aspect of life sciences, it’s important to understand key theories of biology, from molecular level to full body systems and beyond. Your first two years will explore core concepts like genetics, cell biology, biological organisation, molecular mechanisms and processes.,You will develop your practical skills, including laboratory skills, data analysis, and designing and running experiments.,You can pick modules that interest you and graduate with BSc (Hons) Biological Sciences, or choose a pathway – Bioinformatics or Plant Sciences, to have these added to your degree title. The flexibility of our courses means you can transfer on to a different life sciences degree if you choose the relevant modules.,Our course curriculum is shaped by the work of our world-leading researchers to make sure you’re learning the latest advances, as well as gaining an understanding of the fundamentals of the field.,Lab sessions throughout your degree will help you integrate knowledge and practical skills, as well as develop strong transferable skills, both in and out of the lab.,Mutual recognition of professional qualifications after Brexit is a priority for UK professional bodies and universities. If you plan on practising outside the UK you should check with the relevant national authority on the recognition of this qualification.",,,
Biological and Biomedical Sciences (joint degree with National University of Singapore) BSc (Hons),,,https://www.dundee.ac.uk/undergraduate/biological-biomedical-singapore,4 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus / NUS Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This degree allows you to study in two leading universities in the field of life sciences, spending the first part of your degree in Dundee, Scotland and the second part in Singapore at the National University of Singapore (NUS).,You will learn key theories - from molecular level to full body systems - to understand the field as a whole.,Your first five semesters (till halfway through Level 3) are spent at the University of Dundee and will cover core concepts including genetics, cell biology, biological organisation, molecular mechanisms and processes. You’ll develop practical skills, including laboratory skills, data analysis, and how to design and run experiments. This will prepare you for carrying out projects later in your course.,Semesters 6-8 (the last 18 months of this degree) will be spent at NUS, where you’ll focus on a specialism from a choice of genetic medicine, neurobiology or physiology and ageing – all of which are important issues relevant to human health.,The benefits of this course include gaining a strong grounding in both biological and biomedical sciences and learning and experiencing the culture of two very different countries. It will also give you opportunities to network and collaborate with others and see where your degree can take you once you complete your studies.,Laboratory sessions throughout your degree will help integrate your knowledge and practical skills, as well as develop strong transferable skills, both in and out of the lab.",,,
Biological Chemistry and Drug Discovery (with a year in industry) BSc (Hons),,,https://www.dundee.ac.uk/undergraduate/biological-chemistry-drug-discovery-industry,5 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drug discovery and biological chemistry integrate chemistry, pharmacology and biology and use techniques from molecular and chemical biology to find new treatments for diseases.,At Dundee, our Drug Discovery Unit bridges lab-focused academic research and industry-scale drug development to create new drugs to fight infections and other diseases. Expertise from this fast-moving field has shaped this course.,The degree starts with a broad range of life sciences topics at Levels 1 and 2. You’ll then focus on biological chemistry and drug discovery at Levels 3 and 4, spending a year between these levels of study working in a related industry - for example in a commercial lab.,Your first two years of study will explore core concepts like genetics, cell biology, biological organisation, molecular mechanisms and processes. You will develop practical skills, including laboratory skills, data analysis, and experiment design. This will prepare you for working on projects at Levels 3 and 4.,Our course curriculum is shaped by the work of our world-leading researchers to make sure you’re learning the latest advances, as well as gaining an understanding of the fundamentals of the field.,Throughout your degree, you can pick modules that interest you and possibly transfer on to one of our other courses if you choose the relevant modules.,Laboratory sessions throughout your degree will help you integrate knowledge and practical skills, as well as develop strong transferable skills, both in and out of the lab.,Mutual recognition of professional qualifications after Brexit is a priority for UK professional bodies and universities. If you plan on practising outside the UK you should check with the relevant national authority on the recognition of this qualification.",,,
Biological Sciences BSc (Hons),,,https://www.dundee.ac.uk/undergraduate/biological-sciences,4 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This course starts as a broad-based curriculum at Levels 1 and 2, which allows you to combine a wide range of topics before specialising in areas that interest you at Levels 3 and 4.,With any aspect of life sciences, it’s important to understand key theories of biology, from molecular level right up to full body systems and beyond. Your first two years of study will explore core concepts like genetics, cell biology, biological organisation, molecular mechanisms and processes.,You will develop your practical skills, including laboratory skills, data analysis, and designing and running experiments. This will prepare you for carrying out projects later in your course.,You can pick modules that interest you and graduate with BSc (Hons) Biological Sciences, or choose a pathway – Bioinformatics or Plant Sciences – to have these added to your degree title. The flexibility of our courses also means you can transfer on to a different life sciences degree if you choose the relevant modules.,Our course curriculum is shaped by the work of our world-leading researchers to make sure you’re learning the latest advances, as well as gaining an understanding of the fundamentals of the field.,Lab sessions throughout your degree will help you integrate knowledge and practical skills, as well as develop strong transferable skills, both in and out of the lab.,Mutual recognition of professional qualifications after Brexit is a priority for UK professional bodies and universities. If you plan on practising outside the UK you should check with the relevant national authority on the recognition of this qualification.",,,
Biomedical Engineering (with North Eastern University China) BEng (Hons),School of Science and Engineering,,https://www.dundee.ac.uk/undergraduate/biomedical-engineering-neu-china,Full Time,years,"Shenyang, China / Dundee, Scotland",Undergraduate,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Approved by the Chinese Ministry of Education, this Joint Education Programme between the University of Dundee and the Northeastern University will allow you to study in both China and Dundee, where you will learn how to use engineering principles to solve medical and biological problems whilst gaining an appreciation for different cultures.,You will spend the first three years of your degree studying in China, at the Northeastern University, before completing your fourth year here at the University of Dundee. Throughout the first three years, you will partly be taught by staff from the University of Dundee. This will allow you to have access to the same learning experience we offer here in Dundee, whilst studying in China.,Your course will consist of both taught core components and intensive research training. You will learn to solve a variety of engineering challenges in the medical field, whilst also learning about the operating environments where these technologies are expected to function.,We have a strong link between hospital, industry and translational medical research, so you will gain valuable real-life hospital experience. We also offer a combination of both clinical and surgical aspects of medical imaging.,Graduating with both a degree from the Northeastern University and the University of Dundee, you will be able to enter a wide range of medical related industries, clinical environments or professional biomedical research programmes.",,,
Art & Design (General Foundation) BA (Hons) / BDes (Hons),Duncan of Jordanstone College of Art & Design,,https://www.dundee.ac.uk/undergraduate/art-design-general-foundation,4 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The one year Art & Design General Foundation course at Duncan of Jordanstone College of Art & Design provides you with an understanding of art and design practice and helps you to identify which of our specialist courses is right for you:,The focus of this course is centered on learning independence and finding your individual path. It also develops your practical skills and critical thinking. You will undertake a diverse range of projects throughout the year, that will each offer different challenges and opportunities. The course content will help you to decide on your choice of Honours degree specialism for the remainder of your course.,Our six studio spaces are large and bright, encouraging the sharing of ideas in a social, collaborative atmosphere. You will spend the majority of your time on studio-based activities learning fundamental skills. The dedicated staff team will encourage you to think in different ways, supporting your learning and your transition into an Art School environment.,Your studies in the studio are complemented by a full programme of lectures, one day per week throughout both semesters. These lectures offer a contextual insight into how art and design has developed through history and contemporary practice, as well as learning more about the individual subject specialisms offered by our degrees.",,,
